2023-12-10 12:52:34,948 INFO ------------------Epoch: 1/15 start------------------
2023-12-10 12:55:35,437 INFO step 41: tp = 0.0, fp = 0.0, tn = 12.0, fn = 20.0, acc = 0.3750, mcc = 0.000000 
2023-12-10 12:55:37,824 INFO step 42: tp = 0.0, fp = 0.0, tn = 17.0, fn = 15.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 12:55:39,762 INFO step 43: tp = 0.0, fp = 0.0, tn = 21.0, fn = 11.0, acc = 0.6562, mcc = 0.000000 
2023-12-10 12:55:41,701 INFO step 44: tp = 0.0, fp = 0.0, tn = 16.0, fn = 16.0, acc = 0.5000, mcc = 0.000000 
2023-12-10 12:55:43,524 INFO step 45: tp = 0.0, fp = 0.0, tn = 10.0, fn = 22.0, acc = 0.3125, mcc = 0.000000 
2023-12-10 12:55:45,175 INFO step 46: tp = 0.0, fp = 0.0, tn = 15.0, fn = 17.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 12:55:46,961 INFO step 47: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 12:55:49,459 INFO step 48: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 12:55:51,146 INFO step 49: tp = 15.0, fp = 17.0, tn = 0.0, fn = 0.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 12:55:52,621 INFO step 50: tp = 16.0, fp = 16.0, tn = 0.0, fn = 0.0, acc = 0.5000, mcc = 0.000000 
2023-12-10 12:55:54,239 INFO step 51: tp = 14.0, fp = 18.0, tn = 0.0, fn = 0.0, acc = 0.4375, mcc = 0.000000 
2023-12-10 12:55:55,946 INFO step 52: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 12:55:57,645 INFO step 53: tp = 18.0, fp = 14.0, tn = 0.0, fn = 0.0, acc = 0.5625, mcc = 0.000000 
2023-12-10 12:55:59,171 INFO step 54: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 12:56:00,671 INFO step 55: tp = 0.0, fp = 0.0, tn = 19.0, fn = 13.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 12:56:02,524 INFO step 56: tp = 0.0, fp = 0.0, tn = 14.0, fn = 18.0, acc = 0.4375, mcc = 0.000000 
2023-12-10 12:56:03,954 INFO step 57: tp = 0.0, fp = 0.0, tn = 21.0, fn = 11.0, acc = 0.6562, mcc = 0.000000 
2023-12-10 12:56:05,446 INFO step 58: tp = 0.0, fp = 0.0, tn = 13.0, fn = 19.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 12:56:06,674 INFO step 59: tp = 0.0, fp = 0.0, tn = 18.0, fn = 14.0, acc = 0.5625, mcc = 0.000000 
2023-12-10 12:56:07,762 INFO step 60: tp = 0.0, fp = 0.0, tn = 11.0, fn = 21.0, acc = 0.3438, mcc = 0.000000 
2023-12-10 12:56:07,905 INFO step/epoch: 60/1, training samples: 1952, train_loss = 9.6321 train_acc = 0.492316
2023-12-10 12:56:09,438 INFO step 61: tp = 0.0, fp = 0.0, tn = 20.0, fn = 12.0, acc = 0.6250, mcc = 0.000000 
2023-12-10 12:56:10,896 INFO step 62: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 12:56:12,272 INFO step 63: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 12:56:13,831 INFO step 64: tp = 12.0, fp = 20.0, tn = 0.0, fn = 0.0, acc = 0.3750, mcc = 0.000000 
2023-12-10 12:56:15,615 INFO step 65: tp = 11.0, fp = 21.0, tn = 0.0, fn = 0.0, acc = 0.3438, mcc = 0.000000 
2023-12-10 12:56:17,163 INFO step 66: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 12:56:18,465 INFO step 67: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 12:56:19,796 INFO step 68: tp = 15.0, fp = 17.0, tn = 0.0, fn = 0.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 12:56:21,175 INFO step 69: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 12:56:22,679 INFO step 70: tp = 0.0, fp = 0.0, tn = 13.0, fn = 19.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 12:56:23,793 INFO step 71: tp = 0.0, fp = 0.0, tn = 10.0, fn = 22.0, acc = 0.3125, mcc = 0.000000 
2023-12-10 12:56:25,079 INFO step 72: tp = 0.0, fp = 0.0, tn = 14.0, fn = 18.0, acc = 0.4375, mcc = 0.000000 
