2023-12-10 16:41:40,872 INFO ------------------Epoch: 1/15 start------------------
2023-12-10 16:41:52,530 INFO step 0: tp = 9.0, fp = 13.0, tn = 5.0, fn = 5.0, acc = 0.4375, mcc = -0.084941 
2023-12-10 16:42:08,614 INFO step 1: tp = 12.0, fp = 7.0, tn = 6.0, fn = 7.0, acc = 0.5625, mcc = 0.093117 
2023-12-10 16:42:19,962 INFO step 2: tp = 8.0, fp = 5.0, tn = 10.0, fn = 9.0, acc = 0.5625, mcc = 0.139460 
2023-12-10 16:42:29,739 INFO step 3: tp = 12.0, fp = 6.0, tn = 7.0, fn = 7.0, acc = 0.5938, mcc = 0.168345 
2023-12-10 16:42:41,371 INFO step 4: tp = 13.0, fp = 5.0, tn = 6.0, fn = 8.0, acc = 0.5938, mcc = 0.157499 
2023-12-10 16:42:47,151 INFO step 5: tp = 5.0, fp = 10.0, tn = 9.0, fn = 8.0, acc = 0.4375, mcc = -0.139460 
2023-12-10 16:42:52,339 INFO step 6: tp = 8.0, fp = 11.0, tn = 9.0, fn = 4.0, acc = 0.5312, mcc = 0.115002 
2023-12-10 16:42:57,939 INFO step 7: tp = 10.0, fp = 6.0, tn = 7.0, fn = 9.0, acc = 0.5312, mcc = 0.063628 
2023-12-10 16:43:03,928 INFO step 8: tp = 9.0, fp = 9.0, tn = 4.0, fn = 10.0, acc = 0.4062, mcc = -0.216444 
2023-12-10 16:43:09,733 INFO step 9: tp = 8.0, fp = 5.0, tn = 9.0, fn = 10.0, acc = 0.5312, mcc = 0.088181 
2023-12-10 16:43:14,407 INFO step 10: tp = 7.0, fp = 13.0, tn = 7.0, fn = 5.0, acc = 0.4375, mcc = -0.066667 
2023-12-10 16:43:17,932 INFO step 11: tp = 10.0, fp = 11.0, tn = 5.0, fn = 6.0, acc = 0.4688, mcc = -0.065795 
2023-12-10 16:43:22,899 INFO step 12: tp = 13.0, fp = 7.0, tn = 4.0, fn = 8.0, acc = 0.5312, mcc = -0.016988 
2023-12-10 16:43:28,328 INFO step 13: tp = 13.0, fp = 8.0, tn = 3.0, fn = 8.0, acc = 0.5000, mcc = -0.108225 
2023-12-10 16:43:31,218 INFO step 14: tp = 15.0, fp = 8.0, tn = 4.0, fn = 5.0, acc = 0.5938, mcc = 0.089730 
2023-12-10 16:43:34,382 INFO step 15: tp = 10.0, fp = 11.0, tn = 2.0, fn = 9.0, acc = 0.3750, mcc = -0.330729 
2023-12-10 16:43:39,876 INFO step 16: tp = 11.0, fp = 9.0, tn = 5.0, fn = 7.0, acc = 0.5000, mcc = -0.032530 
2023-12-10 16:43:44,493 INFO step 17: tp = 7.0, fp = 11.0, tn = 7.0, fn = 7.0, acc = 0.4375, mcc = -0.111111 
