2023-12-10 18:09:07,691 INFO ------------------Epoch: 1/15 start------------------
2023-12-10 18:09:31,119 INFO step 0: tp = 9.0, fp = 13.0, tn = 5.0, fn = 5.0, acc = 0.4375, mcc = -0.084941 
2023-12-10 18:10:03,234 INFO step 1: tp = 1.0, fp = 0.0, tn = 13.0, fn = 18.0, acc = 0.4375, mcc = 0.148564 
2023-12-10 18:10:26,623 INFO step 2: tp = 16.0, fp = 13.0, tn = 2.0, fn = 1.0, acc = 0.5625, mcc = 0.127563 
2023-12-10 18:10:45,797 INFO step 3: tp = 1.0, fp = 1.0, tn = 12.0, fn = 18.0, acc = 0.4062, mcc = -0.049286 
2023-12-10 18:11:07,353 INFO step 4: tp = 7.0, fp = 8.0, tn = 3.0, fn = 14.0, acc = 0.3125, mcc = -0.374943 
2023-12-10 18:11:16,875 INFO step 5: tp = 12.0, fp = 17.0, tn = 2.0, fn = 1.0, acc = 0.4375, mcc = 0.047752 
2023-12-10 18:11:26,332 INFO step 6: tp = 9.0, fp = 14.0, tn = 6.0, fn = 3.0, acc = 0.4688, mcc = 0.053838 
2023-12-10 18:11:37,801 INFO step 7: tp = 3.0, fp = 1.0, tn = 12.0, fn = 16.0, acc = 0.4688, mcc = 0.120247 
2023-12-10 18:11:50,658 INFO step 8: tp = 13.0, fp = 11.0, tn = 2.0, fn = 6.0, acc = 0.4688, mcc = -0.183680 
2023-12-10 18:12:03,469 INFO step 9: tp = 10.0, fp = 10.0, tn = 4.0, fn = 8.0, acc = 0.4375, mcc = -0.162650 
2023-12-10 18:12:11,698 INFO step 10: tp = 12.0, fp = 18.0, tn = 2.0, fn = 0.0, acc = 0.4375, mcc = 0.200000 
2023-12-10 18:12:18,772 INFO step 11: tp = 13.0, fp = 10.0, tn = 6.0, fn = 3.0, acc = 0.5938, mcc = 0.208514 
2023-12-10 18:12:26,377 INFO step 12: tp = 7.0, fp = 4.0, tn = 7.0, fn = 14.0, acc = 0.4375, mcc = -0.030303 
2023-12-10 18:12:37,208 INFO step 13: tp = 19.0, fp = 8.0, tn = 3.0, fn = 2.0, acc = 0.6875, mcc = 0.232173 
2023-12-10 18:12:42,365 INFO step 14: tp = 19.0, fp = 11.0, tn = 1.0, fn = 1.0, acc = 0.6250, mcc = 0.066667 
2023-12-10 18:12:47,368 INFO step 15: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 18:12:58,462 INFO step 16: tp = 18.0, fp = 14.0, tn = 0.0, fn = 0.0, acc = 0.5625, mcc = 0.000000 
2023-12-10 18:13:07,819 INFO step 17: tp = 10.0, fp = 13.0, tn = 5.0, fn = 4.0, acc = 0.4688, mcc = -0.008757 
2023-12-10 18:13:18,931 INFO step 18: tp = 0.0, fp = 0.0, tn = 24.0, fn = 8.0, acc = 0.7500, mcc = 0.000000 
2023-12-10 18:13:26,613 INFO step 19: tp = 0.0, fp = 0.0, tn = 14.0, fn = 18.0, acc = 0.4375, mcc = 0.000000 
2023-12-10 18:13:35,034 INFO step 20: tp = 0.0, fp = 0.0, tn = 13.0, fn = 19.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 18:13:35,472 INFO step/epoch: 20/1, training samples: 672, train_loss = 4.8156 train_acc = 0.497024
2023-12-10 18:13:42,937 INFO step 21: tp = 0.0, fp = 0.0, tn = 15.0, fn = 17.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 18:13:50,371 INFO step 22: tp = 16.0, fp = 16.0, tn = 0.0, fn = 0.0, acc = 0.5000, mcc = 0.000000 
2023-12-10 18:13:55,944 INFO step 23: tp = 20.0, fp = 12.0, tn = 0.0, fn = 0.0, acc = 0.6250, mcc = 0.000000 
2023-12-10 18:14:05,246 INFO step 24: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 18:14:10,391 INFO step 25: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 18:14:18,580 INFO step 26: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 18:14:26,349 INFO step 27: tp = 20.0, fp = 12.0, tn = 0.0, fn = 0.0, acc = 0.6250, mcc = 0.000000 
2023-12-10 18:14:33,855 INFO step 28: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 18:14:41,224 INFO step 29: tp = 0.0, fp = 0.0, tn = 18.0, fn = 14.0, acc = 0.5625, mcc = 0.000000 
2023-12-10 18:14:47,564 INFO step 30: tp = 0.0, fp = 0.0, tn = 19.0, fn = 13.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 18:14:53,244 INFO step 31: tp = 0.0, fp = 0.0, tn = 18.0, fn = 14.0, acc = 0.5625, mcc = 0.000000 
2023-12-10 18:14:57,647 INFO step 32: tp = 0.0, fp = 0.0, tn = 13.0, fn = 19.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 18:15:03,774 INFO step 33: tp = 0.0, fp = 0.0, tn = 15.0, fn = 17.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 18:15:09,786 INFO step 34: tp = 0.0, fp = 0.0, tn = 19.0, fn = 13.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 18:15:15,462 INFO step 35: tp = 20.0, fp = 12.0, tn = 0.0, fn = 0.0, acc = 0.6250, mcc = 0.000000 
2023-12-10 18:15:20,653 INFO step 36: tp = 21.0, fp = 11.0, tn = 0.0, fn = 0.0, acc = 0.6562, mcc = 0.000000 
2023-12-10 18:15:27,138 INFO step 37: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 18:15:31,548 INFO step 38: tp = 15.0, fp = 17.0, tn = 0.0, fn = 0.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 18:15:39,449 INFO step 39: tp = 15.0, fp = 17.0, tn = 0.0, fn = 0.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 18:15:43,787 INFO step 40: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 18:15:44,000 INFO step/epoch: 40/1, training samples: 1312, train_loss = 2.1743 train_acc = 0.518293
2023-12-10 18:15:49,318 INFO step 41: tp = 0.0, fp = 0.0, tn = 12.0, fn = 20.0, acc = 0.3750, mcc = 0.000000 
2023-12-10 18:15:56,652 INFO step 42: tp = 0.0, fp = 0.0, tn = 17.0, fn = 15.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 18:16:01,079 INFO step 43: tp = 0.0, fp = 0.0, tn = 21.0, fn = 11.0, acc = 0.6562, mcc = 0.000000 
2023-12-10 18:16:05,994 INFO step 44: tp = 0.0, fp = 0.0, tn = 16.0, fn = 16.0, acc = 0.5000, mcc = 0.000000 
2023-12-10 18:16:11,391 INFO step 45: tp = 0.0, fp = 0.0, tn = 10.0, fn = 22.0, acc = 0.3125, mcc = 0.000000 
2023-12-10 18:16:16,132 INFO step 46: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 18:16:20,505 INFO step 47: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
