2023-12-10 19:11:00,831 INFO ------------------Epoch: 1/15 start------------------
2023-12-10 19:13:48,462 INFO step 41: tp = 14.0, fp = 7.0, tn = 5.0, fn = 6.0, acc = 0.5938, mcc = 0.118918 
2023-12-10 19:13:50,638 INFO step 42: tp = 6.0, fp = 14.0, tn = 3.0, fn = 9.0, acc = 0.2812, mcc = -0.436564 
2023-12-10 19:13:52,409 INFO step 43: tp = 6.0, fp = 14.0, tn = 7.0, fn = 5.0, acc = 0.4062, mcc = -0.118918 
2023-12-10 19:13:54,287 INFO step 44: tp = 12.0, fp = 12.0, tn = 4.0, fn = 4.0, acc = 0.5000, mcc = 0.000000 
2023-12-10 19:13:56,166 INFO step 45: tp = 16.0, fp = 8.0, tn = 2.0, fn = 6.0, acc = 0.5625, mcc = -0.077850 
2023-12-10 19:13:57,771 INFO step 46: tp = 7.0, fp = 8.0, tn = 7.0, fn = 10.0, acc = 0.4375, mcc = -0.121569 
2023-12-10 19:13:59,630 INFO step 47: tp = 10.0, fp = 10.0, tn = 9.0, fn = 3.0, acc = 0.5938, mcc = 0.246432 
2023-12-10 19:14:02,164 INFO step 48: tp = 9.0, fp = 9.0, tn = 6.0, fn = 8.0, acc = 0.4688, mcc = -0.071007 
2023-12-10 19:14:03,909 INFO step 49: tp = 7.0, fp = 14.0, tn = 3.0, fn = 8.0, acc = 0.3125, mcc = -0.374943 
2023-12-10 19:14:05,405 INFO step 50: tp = 9.0, fp = 14.0, tn = 2.0, fn = 7.0, acc = 0.3438, mcc = -0.347524 
2023-12-10 19:14:07,029 INFO step 51: tp = 11.0, fp = 10.0, tn = 8.0, fn = 3.0, acc = 0.5938, mcc = 0.240393 
2023-12-10 19:14:08,616 INFO step 52: tp = 11.0, fp = 10.0, tn = 3.0, fn = 8.0, acc = 0.4375, mcc = -0.196763 
2023-12-10 19:14:10,197 INFO step 53: tp = 9.0, fp = 9.0, tn = 5.0, fn = 9.0, acc = 0.4375, mcc = -0.142857 
2023-12-10 19:14:11,617 INFO step 54: tp = 5.0, fp = 16.0, tn = 3.0, fn = 8.0, acc = 0.2500, mcc = -0.473068 
2023-12-10 19:14:13,123 INFO step 55: tp = 3.0, fp = 12.0, tn = 7.0, fn = 10.0, acc = 0.3125, mcc = -0.394472 
2023-12-10 19:14:14,965 INFO step 56: tp = 12.0, fp = 8.0, tn = 6.0, fn = 6.0, acc = 0.5625, mcc = 0.097590 
2023-12-10 19:14:16,326 INFO step 57: tp = 6.0, fp = 14.0, tn = 7.0, fn = 5.0, acc = 0.4062, mcc = -0.118918 
2023-12-10 19:14:17,729 INFO step 58: tp = 7.0, fp = 7.0, tn = 6.0, fn = 12.0, acc = 0.4062, mcc = -0.168345 
2023-12-10 19:14:18,646 INFO step 59: tp = 6.0, fp = 11.0, tn = 7.0, fn = 8.0, acc = 0.4062, mcc = -0.181463 
2023-12-10 19:14:19,398 INFO step 60: tp = 12.0, fp = 6.0, tn = 5.0, fn = 9.0, acc = 0.5312, mcc = 0.024868 
2023-12-10 19:14:19,532 INFO step/epoch: 60/1, training samples: 1952, train_loss = 10.6283 train_acc = 0.482070
