2023-12-19 14:59:30,721 INFO ------------------Epoch: 1/15 start------------------
2023-12-19 14:59:43,048 INFO step 0: tp = 11.0, fp = 14.0, tn = 4.0, fn = 3.0, acc = 0.4688, mcc = 0.009524 
2023-12-19 14:59:59,743 INFO step 1: tp = 16.0, fp = 11.0, tn = 2.0, fn = 3.0, acc = 0.5625, mcc = -0.005476 
2023-12-19 15:00:12,838 INFO step 2: tp = 14.0, fp = 15.0, tn = 0.0, fn = 3.0, acc = 0.4375, mcc = -0.302122 
2023-12-19 15:00:25,250 INFO step 3: tp = 16.0, fp = 13.0, tn = 0.0, fn = 3.0, acc = 0.5000, mcc = -0.266046 
2023-12-19 15:00:38,016 INFO step 4: tp = 20.0, fp = 11.0, tn = 0.0, fn = 1.0, acc = 0.6250, mcc = -0.129989 
2023-12-19 15:00:44,615 INFO step 5: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
2023-12-19 15:00:50,189 INFO step 6: tp = 12.0, fp = 20.0, tn = 0.0, fn = 0.0, acc = 0.3750, mcc = 0.000000 
2023-12-19 15:00:56,844 INFO step 7: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-19 15:01:01,932 INFO step 8: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-19 15:01:07,122 INFO step 9: tp = 17.0, fp = 14.0, tn = 0.0, fn = 1.0, acc = 0.5312, mcc = -0.158397 
2023-12-19 15:01:11,592 INFO step 10: tp = 12.0, fp = 20.0, tn = 0.0, fn = 0.0, acc = 0.3750, mcc = 0.000000 
2023-12-19 15:01:14,767 INFO step 11: tp = 16.0, fp = 16.0, tn = 0.0, fn = 0.0, acc = 0.5000, mcc = 0.000000 
2023-12-19 15:01:20,434 INFO step 12: tp = 19.0, fp = 10.0, tn = 1.0, fn = 2.0, acc = 0.6250, mcc = -0.007054 
2023-12-19 15:01:28,006 INFO step 13: tp = 21.0, fp = 9.0, tn = 2.0, fn = 0.0, acc = 0.7188, mcc = 0.356753 
2023-12-19 15:01:30,600 INFO step 14: tp = 20.0, fp = 12.0, tn = 0.0, fn = 0.0, acc = 0.6250, mcc = 0.000000 
2023-12-19 15:01:33,690 INFO step 15: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-19 15:01:41,222 INFO step 16: tp = 18.0, fp = 14.0, tn = 0.0, fn = 0.0, acc = 0.5625, mcc = 0.000000 
2023-12-19 15:01:48,039 INFO step 17: tp = 14.0, fp = 18.0, tn = 0.0, fn = 0.0, acc = 0.4375, mcc = 0.000000 
2023-12-19 15:01:54,646 INFO step 18: tp = 8.0, fp = 23.0, tn = 1.0, fn = 0.0, acc = 0.2812, mcc = 0.103695 
2023-12-19 15:01:58,281 INFO step 19: tp = 16.0, fp = 14.0, tn = 0.0, fn = 2.0, acc = 0.5000, mcc = -0.227710 
2023-12-19 15:02:02,719 INFO step 20: tp = 16.0, fp = 11.0, tn = 2.0, fn = 3.0, acc = 0.5625, mcc = -0.005476 
2023-12-19 15:02:03,099 INFO step/epoch: 20/1, training samples: 672, train_loss = 0.8814 train_acc = 0.517857
2023-12-19 15:02:05,703 INFO step 21: tp = 17.0, fp = 12.0, tn = 3.0, fn = 0.0, acc = 0.6250, mcc = 0.342405 
2023-12-19 15:02:08,850 INFO step 22: tp = 16.0, fp = 11.0, tn = 5.0, fn = 0.0, acc = 0.6562, mcc = 0.430331 
2023-12-19 15:02:11,237 INFO step 23: tp = 17.0, fp = 10.0, tn = 2.0, fn = 3.0, acc = 0.5938, mcc = 0.022222 
2023-12-19 15:02:14,992 INFO step 24: tp = 16.0, fp = 9.0, tn = 4.0, fn = 3.0, acc = 0.6250, mcc = 0.177965 
2023-12-19 15:02:17,544 INFO step 25: tp = 19.0, fp = 12.0, tn = 1.0, fn = 0.0, acc = 0.6250, mcc = 0.217132 
2023-12-19 15:02:20,713 INFO step 26: tp = 14.0, fp = 12.0, tn = 3.0, fn = 3.0, acc = 0.5312, mcc = 0.030083 
2023-12-19 15:02:24,000 INFO step 27: tp = 14.0, fp = 10.0, tn = 2.0, fn = 6.0, acc = 0.5000, mcc = -0.149071 
2023-12-19 15:02:26,945 INFO step 28: tp = 15.0, fp = 12.0, tn = 3.0, fn = 2.0, acc = 0.5625, mcc = 0.113183 
2023-12-19 15:02:30,185 INFO step 29: tp = 13.0, fp = 13.0, tn = 5.0, fn = 1.0, acc = 0.5625, mcc = 0.262265 
2023-12-19 15:02:32,720 INFO step 30: tp = 11.0, fp = 17.0, tn = 2.0, fn = 2.0, acc = 0.4062, mcc = -0.072148 
2023-12-19 15:02:35,214 INFO step 31: tp = 6.0, fp = 15.0, tn = 3.0, fn = 8.0, acc = 0.2812, mcc = -0.422760 
2023-12-19 15:02:37,166 INFO step 32: tp = 16.0, fp = 9.0, tn = 4.0, fn = 3.0, acc = 0.6250, mcc = 0.177965 
2023-12-19 15:02:39,818 INFO step 33: tp = 15.0, fp = 11.0, tn = 4.0, fn = 2.0, acc = 0.5938, mcc = 0.190525 
2023-12-19 15:02:42,738 INFO step 34: tp = 8.0, fp = 14.0, tn = 5.0, fn = 5.0, acc = 0.4062, mcc = -0.128695 
2023-12-19 15:02:45,513 INFO step 35: tp = 13.0, fp = 5.0, tn = 7.0, fn = 7.0, acc = 0.6250, mcc = 0.227710 
2023-12-19 15:02:48,021 INFO step 36: tp = 16.0, fp = 7.0, tn = 4.0, fn = 5.0, acc = 0.6250, mcc = 0.132619 
2023-12-19 15:02:50,554 INFO step 37: tp = 12.0, fp = 12.0, tn = 3.0, fn = 5.0, acc = 0.4688, mcc = -0.108465 
2023-12-19 15:02:52,625 INFO step 38: tp = 12.0, fp = 12.0, tn = 5.0, fn = 3.0, acc = 0.5312, mcc = 0.108465 
