2023-12-13 17:02:30,447 INFO ------------------Epoch: 1/15 start------------------
2023-12-13 17:02:40,169 INFO step 0: tp = 9.0, fp = 13.0, tn = 5.0, fn = 5.0, acc = 0.4375, mcc = -0.084941 
2023-12-13 17:02:53,073 INFO step 1: tp = 10.0, fp = 6.0, tn = 7.0, fn = 9.0, acc = 0.5312, mcc = 0.063628 
2023-12-13 17:03:03,564 INFO step 2: tp = 8.0, fp = 4.0, tn = 11.0, fn = 9.0, acc = 0.5938, mcc = 0.210198 
2023-12-13 17:03:12,747 INFO step 3: tp = 13.0, fp = 5.0, tn = 8.0, fn = 6.0, acc = 0.6562, mcc = 0.296608 
2023-12-13 17:03:22,229 INFO step 4: tp = 10.0, fp = 5.0, tn = 6.0, fn = 11.0, acc = 0.5000, mcc = 0.020601 
2023-12-13 17:03:27,130 INFO step 5: tp = 6.0, fp = 11.0, tn = 8.0, fn = 7.0, acc = 0.4375, mcc = -0.115553 
2023-12-13 17:03:31,798 INFO step 6: tp = 8.0, fp = 12.0, tn = 8.0, fn = 4.0, acc = 0.5000, mcc = 0.066667 
2023-12-13 17:03:35,971 INFO step 7: tp = 10.0, fp = 6.0, tn = 7.0, fn = 9.0, acc = 0.5312, mcc = 0.063628 
2023-12-13 17:03:40,407 INFO step 8: tp = 9.0, fp = 9.0, tn = 4.0, fn = 10.0, acc = 0.4062, mcc = -0.216444 
2023-12-13 17:03:45,013 INFO step 9: tp = 8.0, fp = 6.0, tn = 8.0, fn = 10.0, acc = 0.5000, mcc = 0.015873 
2023-12-13 17:03:48,590 INFO step 10: tp = 7.0, fp = 13.0, tn = 7.0, fn = 5.0, acc = 0.4375, mcc = -0.066667 
2023-12-13 17:03:51,429 INFO step 11: tp = 13.0, fp = 10.0, tn = 6.0, fn = 3.0, acc = 0.5938, mcc = 0.208514 
2023-12-13 17:03:55,269 INFO step 12: tp = 14.0, fp = 7.0, tn = 4.0, fn = 7.0, acc = 0.5625, mcc = 0.030303 
